st coed qnt ed
13571105139 WFU001 30 13571105219
13571105219 WFU002 30 13571105259
13571105259 WMP001 30 13571105337
13571105337 WFU003 30 13571105417
13571105417 WFU004 30 13571105457
13571105457 WMP001 30 13571105535
13571105535 LFU003 30 13571105618
13571105618 LFU004 30 13571105700
13571105700 WMP001 60 13571105809
13572155908 CAU011 08 13572155933
13572155940 CAU011 08 13572160004
13572160015 CAU012 08 13572160040
13572160046 CAU012 08 13572160111
13572160122 CAU001 10 13572160217
13572173016 LAU002 30 13572173131
13572173202 LAU003 30 13572173316
13572173347 YCU002 30 13572173501
13572173532 YCU003 60 13572173646
13572173718 YCU004 60 13572173832
13572173903 LCU008 30 13572174016
13572174048 LCU009 30 13572174200
13572174200 LFU009 30 13572174244
13572174244 LFU010 30 13572174328
13572174328 LFC001 30 13572174407
13572174407 LFC002 30 13572174446
13572174446 LFU011 30 13572174524
13574190818 UAU001 10 13574190859
13574190859 UAU002 10 13574190940
13574190940 LFU005 10 13574191021
13574191021 YDU001 30 13574191100
13574191112 LCU003 30 13574191149
13574191200 CCU001 10 13574191303
13574191309 ACU001 15 13574191346
13574191358 LCC001 15 13574191438
13574191438 LBU002 15 13574191518
13574191529 UBU001 15 13574191607
13574191619 YCU001 30 13574191657
13574191709 LCU002 30 13574191748
13574191759 LCU001 15 13574191842
13574191853 CCU002 10 13574191931
13574191942 WCU001 30 13574192020
13574192020 WCU002 30 13574192057
13575204346 NMF001 180 13575204704
13575204715 CHU002 10 13575204830
13575204841 NMF001 180 13575205153
13576111548 NMF001 12 13576111903
13576111915 CHU002 10 13576112029
13576112041 NMF001 12 13576112350
13576160234 CAU002 06 13576160320
13576160331 CAU002 06 13576160409
13576160420 CAU002 04 13576160447
13578100005 NFT001 30 13578100119
13578100119 YFU002 30 13578100304
13578100304 UFU005 15 13578100418
13578100418 UFU006 15 13578100531
13578100531 YFU001 04 13578100643
13578100643 WFU007 30 13578100728
13578100728 WFU008 30 13578100813
13578143536 NMF001 12 13578143852
13578143903 CHU002 10 13578144018
13578144029 NMF001 12 13578144338
13578173240 LAU002 30 13578173354
13578173426 LAU003 30 13578173539
13578173611 YCU002 30 13578173725
13578173756 YCU003 60 13578173909
13578173941 YCU004 60 13578174054
13578174125 LCU008 30 13578174239
